country name,Element,Unit,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018
Iran,Production,tonnes,2754740,2468140,2622578,3647713,4380982,3800000,4400000,4100000,4262000,3700000,4546000,4600000,4700000,5507000,6044000,5517200,5660000,6025148,5849800,5652852,6660072,5956162,6206681,6630522,7556390,7601280,7260230,6010024,8011675,8792666,10178679.4,10732341.7,10869560,11227545.9,10015183,10044716,11955080.3,8673197,8087756,9458618,12450241.5,13439565,14568481,14307970,14663745,15886608.5,6999977.4,12093027.5,12142987.9,8677966,8816001,9304246,10578698.6,11522318,14592003,12704746,13012380.31
Iraq,Production,tonnes,1085494,488254,807013,1005288,825955,860000,1537000,1183000,1236000,822300,2625000,957000,1339000,845400,1302400,695700,909800,684800,975600,902000,965100,841000,470900,1405500,1036000,722200,929200,491400,1195800,1476400,1006000,1187000,1342000,1236000,1300000,1063000,1130000,800000,384000,903400,2589000,2329000,1832000,2228000,2086000,2202800,1255000,1700390,2748840,2808900,3062312,4178379,5055111,2645061,3052939,2974136,2177885
Israel,Production,tonnes,51700,54700,126500,150000,100600,221600,175000,155800,125000,199500,301400,241500,274000,243300,205500,220000,167000,133200,253200,215000,147000,335000,130000,127700,168500,298000,211000,201700,291200,180000,254100,217000,103230,242000,185000,116000,155000,29000,94000,157970,177275,184300,154300,200800,131200,158921,75734,132963,112324.32,141866,222487,178200,139800,173000,168000,72200,70500
Japan,Production,tonnes,1631000,715500,1244000,1287000,1024000,996900,1012000,757900,473600,440300,283900,202300,231700,240700,222400,236400,366700,541300,582800,587400,741800,695300,740500,874200,875700,863700,1021000,984500,951500,759000,758700,637800,564800,443600,478100,573100,569500,583100,688200,699900,827800,855900,860300,874700,837200,910100,881200,674200,571300,746300,857800,811700,852400,1004000,790800,906700,764900
Lebanon,Production,tonnes,75247,60000,59500,55000,69992,67690,47673,32956,43005,40971,63686,55138,75560,65000,40000,50000,45000,40000,20000,22000,23000,20000,18000,22500,30000,49218,51490,56438,52000,58594,61580,55000,52675,60005,58342,58394,80600,73000,108100,139500,119000,116300,136800,143700,153400,116200,143700,111400,83000,125000,150000,140000,140000,139000,129037,125797,130000
Libya,Production,tonnes,33600,34100,28000,56913,57788,62221,52041,78421,27189,17726,41585,67327,38682,75134,133101,48117,99295,110000,140500,123110,188000,209737,183634,149000,190000,172000,161011,185000,128760,130000,125000,126000,120000,117000,124000,156400,140000,130000,125000,125000,125000,125000,125000,125000,104000,104000,104000,105000,132239.07,166000,200000,200000,200000,160000,200000,140000,200000
Mexico,Production,tonnes,1455256,1702989,2203066,2150354,1647368,2122389,2080725,2326055,2676451,1830845,1809018,2090845,2788677,2798219,3363299,2455774,2784660,2286525,2784914,3193234,4391421,3463296,4505245,5214315,4769411,4415391,3665126,4374739,3930934,4060738,3620503,3582450,4150920,3468220,3375008,3656594,3235080,3020889,3493210,3275460,3236183,2715800,2321200,3015177,3378116,3515392,4019400,4116161,3676707,3627511,3274337,3357307,3669813.71,3710706.27,3862914.27,3503521,2943445.12
Morocco,Production,tonnes,1500000,1440000,1440000,1580000,1150000,1506500,2550000,1469000,1800500,2188100,2160770,1574000,1853000,1574820,2188940,1287600,1876450,1796000,1811000,892000,2183400,1970200,1989480,2358000,3809100,2427360,4019340,3926960,3613890,4938920,1562160,1573020,5523210,1090710,5915790,2316490,4378480,2153540,1380700,3316380,3358680,5146840,5539840,3043080,6326760,1582630,3769450,6371430,4876140,6017821,3878000,6933982.62,5115884.22,8074658.89,2731123,7090817,7320620.11
Myanmar,Production,tonnes,14811,32435,54168,71773,96277,66790,51149,25846,33420,40099,26904,26695,24654,63570,56556,76393,93692,41640,90852,116763,123913,130041,213557,206272,189934,191755,156866,130138,124167,141100,136400,106900,87700,76700,85400,90700,92000,115300,92100,94400,105700,122400,150000,156200,140200,155300,170400,179200,181000,169800,177600,182900,182400,179300,102636,123251.86,115995.52
Nepal,Production,tonnes,138000,137578,138500,126000,147000,159000,204957,232780,264670,193360,223194,312494,308389,330815,387007,361853,411270,415230,439990,477190,525930,656630,633700,533720,598000,701040,744600,830050,854960,835970,761960,765000,898892,914000,1012930,1072000,1000770,1086480,1183530,1157865,1258045,1344192,1387191,1442442,1394126,1515139,1572065,1343862,1556539,1745811,1846142,1727346,1883147,1975625,1736848.58,1879191.46,1949001
Pakistan,Production,tonnes,4026000,4170000,4162000,4590000,3916000,4334000,6418000,6618000,7294000,6475693,6890851,7442570,7628503,7673440,8690713,9143873,8367200,9950000,10856500,11474600,11304200,12414400,10881900,11703000,13923000,12015900,12675100,14419200,14315500,14565000,15684200,16156500,15213000,17002400,16907400,16650500,18694000,17857600,21078600,19023700,18226500,19183300,19499800,21612300,21276900,23294600,20958800,24033000,23310800,25213800,23473400,24211360,25979399,25086174,25633028,26673703,25076149
Poland,Production,tonnes,2700000,3067000,3042000,3338000,3556100,3857600,4567000,4709700,4607800,5455700,5146800,5806500,6408400,5206500,5744775,5308265,6029398,4187394,4175486,4203256,4475712,5165083,6010201,6460793,7501702,7941554,7582141,8461619,9025756,9269974,7368097,8242694,7658457,8668035,8575954,8192681,9536576,9051339,8502865,9283044,9304000,7858160,9892482,8771434,7059671,8317265,9274920,9789586,9408110,9339200,8607600,9485183,11628670,10957787,10827902,11665702,9637620
Romania,Production,tonnes,4053800,3798800,3823700,5937000,5064700,5819600,4847900,4348787,3356000,5595400,6040800,5489500,5006700,4860190,6724200,6435000,6102000,4569000,6264000,5281000,6122000,4935000,7388000,5532000,6278000,6632000,8528000,7840000,7289344,5473156,3206382,5314104,6135299,7666538,3143818,7156188,5181823,4661439,4434438,7735136,4420995,2479052,7812428,7340664,5526190,3044465,7180984,5202526,5811810,7131590,5297748,7296373,7584814,7962421,8431131,10034955,10143670
Saudi Arabia,Production,tonnes,108000,135000,130000,147900,148750,118149,125000,130000,130000,41908,38954,63719,153385,132038,92540,124610,119928,150426,141732,187231,416735,817497,1401644,2134930,2289995,2648773,3267391,3452427,3580344,4035498,4123660,3429980,2646023,1647956,1200000,1794900,1734000,2046000,1787542,2081870,2436443,2524278,2775678,2648472,2630394,2558000,1985556,1152447,1349389,1184454,854256,660145,718530,693776,618653,620923,586413
South Korea,Production,tonnes,87000,94000,98000,88000,96000,91000,87000,88000,88000,91000,87000,98000,102000,106000,108000,115000,111000,115000,99000,114000,121000,124000,132000,127000,143000,133000,128000,129000,116000,135000,123000,123000,125000,125000,100000,100000,165000,97000,50000,123866,145000,161000,175000,193000,199000,195000,175000,169000,160000,127000,74000,75000,45000,55000,39000,43800,50900
