Year,Country,T,T2,yield_raw,yield_LogR,yield_LogR_lag1,yield_LogR_lag2
2019,Peru,0.4427627173753841,-16.219724509168202,,,0.023184304,-0.037366196
2019,Tanzania,-0.10734811804636735,-5.516222835788767,,,-0.082544638,0.064994745
2019,Albania,2.234073729898866,33.601203568138175,,,-0.089069629,0.034450973
2019,Algeria,1.1565249820305823,58.410380296294875,,,0.574717253,-0.02845825
2019,Bangladesh,-2.4038169673122134,-89.47191373176429,,,-0.008715345,0.040919647
2019,Bolivia,-0.7034880626679048,-32.93703077628396,,,0.535628494,-0.482442893
2019,Bulgaria,3.5511528754676682,93.1528388302129,,,-0.086782362,0.120860101
2019,Denmark,1.5642191524307796,28.620707228860766,,,-0.290643249,0.134098412
2019,Egypt,-0.7392130163355084,-16.286180279901714,,,-0.086035135,0.033893006
2019,France,1.066333276867521,25.106064380242344,,,-0.069319847,0.315782841
2019,Germany,-0.6054357536273844,-17.985687528250267,,,-0.135785843,0.000444875
2019,Hungary,1.6610777367528708,50.159149888125796,,,-0.05768625,0.011728764
2019,India,-0.058494592758670194,15.6553608148904,,,0.051258918,0.053270639
2019,Iran,0.1475080641728308,4.8622383992704385,,,0.0,-0.234564775
2019,Iraq,-0.15720734358664146,17.271270383649437,,,-0.021467156,-0.155870008
2019,Israel,-0.968392792761712,-19.154375937210204,,,-0.190020515,-0.86939007
2019,Japan,6.688028905549748,117.6695103857004,,,-0.168176497,0.146608404
2019,Lebanon,2.4597858876544745,81.24956842031145,,,0.074856181,-0.043286127
2019,Libya,-0.09278010860817787,9.282379592742018,,,0.012143761,-0.007541215
2019,Mexico,0.24459016348668783,4.705818293132495,,,0.026198629,-0.007916923
2019,Morocco,2.061394999801596,54.23632641276444,,,0.20623046,0.616152555
2019,Myanmar,-1.0314934119815078,-37.460919445629884,,,-0.005591218,0.462470478
2019,Nepal,-1.5174651928305245,-67.66521974046812,,,0.076669494,0.092229333
2019,Pakistan,0.5683277087699192,69.91322492722043,,,-0.04204349,0.067446757
2019,Poland,0.7895981077525551,16.294214045369472,,,-0.201527638,0.062849123
2019,Romania,2.638368602333534,67.62258089050408,,,-0.020156394,0.214106794
2019,Saudi Arabia,-1.3730959477548303,-46.2202224807433,,,0.015439856,0.082306939
2019,South Korea,6.033120745974995,74.01581016415187,,,-0.031316721,0.083832497
2019,Spain,2.2852038524659406,43.51074579606305,,,0.550181901,-0.405221487
2019,Sweden,3.2698498997261862,-19.291088131217485,,,-0.474221926,0.100569295
2019,Syria,0.4981280538397801,27.171629888472495,,,-0.349772251,0.101022144
2019,Tunisia,1.1203338477758535,45.14615371496183,,,0.058464949,-0.10806468
2019,United Kingdom,1.7061178749883465,27.43496183236924,,,-0.065508442,0.048236547
2019,Canada,0.41764461529051644,4.2815746036432,,,-0.032245834,-0.057183057
2019,China,0.034818546067523215,0.6597541480958,,,-0.012384684,0.016102401
2019,Italy,1.4969929907039,36.77079524572022,,,0.011268669,-0.086116313
2019,North Korea,5.470233915447761,54.725980603893426,,,0.038140216,-0.028094726
2019,Turkey,1.2504175981695713,33.29930632225489,,,-0.022343272,0.035918971
2019,United States,-0.6121772858227956,-14.394686183156352,,,0.026275649,-0.127321292
2019,Russia,2.34131039943286,55.96436174213551,,,-0.137093847,0.151732582
2019,Ukraine,1.321629006543974,38.44341691204292,,,-0.098497969,-0.023066937
2019,Zimbabwe,0.47308841692964876,20.776212097609744,,,0.429236858,-0.08052495
2019,Australia,1.1116932557114687,37.07215647632495,,,0.279136316,0.029348117
2019,Colombia,0.12201821542294766,-4.855929058873812,,,0.272814553,-0.150982215
2019,Ecuador,0.5624164992814897,-1.0539820753054414,,,-0.165493455,0.755371442
2019,Guatemala,3.65918299024041,183.52041043879342,,,-0.000986958,0.001551372
2019,Kenya,1.5692960106538507,67.47069314331395,,,-0.108439785,-0.347122979
2019,Angola,0.538299091917299,26.758749939017434,,,0.060706889,-0.028607844
2019,Argentina,0.24000425006013515,4.114934569018487,,,-0.038275839,0.1437202
2019,Brazil,-0.9254022954920806,-40.10044167223526,,,0.142942867,-0.325283441
2019,Chile,1.0319945505293227,16.950011063221822,,,0.03556389,-0.012264805
2019,Lesotho,3.3762303893028065,78.10552260206542,,,-0.320107719,0.778655548
2019,Mozambique,0.48102418558710625,23.3941757920324,,,0.034478494,0.008557176
2019,Namibia,2.222763805420449,87.39019029051758,,,0.0,0.115164485
2019,Paraguay,1.2307257549765893,55.80125319243888,,,-0.174353387,-0.09531018
2019,South Africa,0.7170466735004801,21.509311717470553,,,0.172694366,-0.18501342
2019,Uruguay,1.9413510777471537,72.07837070071957,,,-0.434628919,-0.024492394
2020,Peru,0.3176922753556397,11.839336721486006,,,,
2020,Tanzania,-0.347667800482899,-15.532150821100913,,,,
2020,Albania,0.1972574742965456,-2.9647002708027372,,,,
2020,Algeria,1.0229888494755777,49.93827891040473,,,,
2020,Bangladesh,1.5246424183769918,58.64797247626848,,,,
2020,Bolivia,0.4343252889281146,17.874921675166718,,,,
2020,Bulgaria,0.07348631274551565,-10.01867735120834,,,,
2020,Denmark,-0.31586051692225503,-13.03291471159801,,,,
2020,Egypt,0.3713994003840675,10.941605834556924,,,,
2020,France,-0.10677690555800368,-16.462113740841716,,,,
2020,Germany,-0.435592931671021,-21.97167488600688,,,,
2020,Hungary,-0.21739791885149806,-14.74210592750353,,,,
2020,India,0.3595991810740884,12.06059601923755,,,,
2020,Iran,0.36320907004480496,14.157684713234119,,,,
2020,Iraq,-0.21528853797100744,-4.675025620808924,,,,
2020,Israel,-0.29726635790514777,-15.069304264017035,,,,
2020,Japan,0.08861452667547631,4.939353804946222,,,,
2020,Lebanon,-0.3136718544544266,-12.415009069836117,,,,
2020,Libya,0.9664889906722962,38.846877490402505,,,,
2020,Mexico,0.2108926504002433,11.32940086299908,,,,
2020,Morocco,0.4388163285220088,10.082167315995662,,,,
2020,Myanmar,-0.04985437542424975,-4.340790871790887,,,,
2020,Nepal,0.1294869443779607,7.91226478871404,,,,
2020,Pakistan,0.9300306188909069,29.643135963893315,,,,
2020,Poland,-0.6104749876529292,-12.265336959749689,,,,
2020,Romania,-0.444550987247597,-24.574983437290086,,,,
2020,Saudi Arabia,-0.2924264929158866,-14.625240444572569,,,,
2020,South Korea,0.24565758260352055,6.460969879999993,,,,
2020,Spain,0.5919968743685722,7.87508967225493,,,,
2020,Sweden,-1.306411611579059,23.415624513174613,,,,
2020,Syria,-0.33091881659191635,-10.780218862295499,,,,
2020,Tunisia,0.4705226295535887,14.175780744431677,,,,
2020,United Kingdom,-0.3135425688095719,-11.274862702196202,,,,
2020,Canada,0.1632460315597717,1.7683802867286502,,,,
2020,China,0.45210148437233144,8.786716452671513,,,,
2020,Italy,-0.31574802158236537,-8.128727415179839,,,,
2020,North Korea,0.48698535167661383,7.773036707136811,,,,
2020,Turkey,-0.4145255311898577,-11.385540823710613,,,,
2020,United States,0.0709208960747052,1.629241719257152,,,,
2020,Russia,-0.46705080162596957,-12.039293597769188,,,,
2020,Ukraine,-2.0716492513647236,-58.70615460297685,,,,
2020,Zimbabwe,0.2804188894209112,12.526209808610133,,,,
2020,Australia,-0.01859302887407921,5.326874203304953,,,,
2020,Colombia,0.5455005498730117,28.169789968976147,,,,
2020,Ecuador,0.3790753805348004,17.278829386517202,,,,
2020,Guatemala,0.4608105695546918,26.69402118918481,,,,
2020,Kenya,-0.3649262968195188,-18.485139251405485,,,,
2020,Angola,-0.46845048725737826,-18.572102020175407,,,,
2020,Argentina,-0.9285170293832135,-25.96540644445048,,,,
2020,Brazil,-0.4661365158247044,-21.62443883371492,,,,
2020,Chile,0.07332764365336253,-0.40415761899598124,,,,
2020,Lesotho,-0.4076737044721437,-11.737908832029973,,,,
2020,Mozambique,-0.24430859586263765,-10.860935478137321,,,,
2020,Namibia,-1.3372959752724043,-55.09202587403331,,,,
2020,Paraguay,-1.5809776681741,-66.18377806886207,,,,
2020,South Africa,-0.4806967777402633,-15.159269512280162,,,,
2020,Uruguay,-1.694798877192584,-58.283077019058055,,,,
2021,Peru,-0.33315960827775015,-12.434028004751212,,,,
2021,Tanzania,0.3326355266979526,15.684802933359038,,,,
2021,Albania,0.9639896871684979,20.277896975949233,,,,
2021,Algeria,-0.17813539941211687,-19.129227537706186,,,,
2021,Bangladesh,0.21054519685944229,13.001165698865634,,,,
2021,Bolivia,-0.23898505794024416,-5.92053717662202,,,,
2021,Bulgaria,0.45892026135551234,0.1358558432171435,,,,
2021,Denmark,-0.7332401813661749,-9.261031653840078,,,,
2021,Egypt,0.457307454645818,14.466011181102147,,,,
2021,France,-0.33707603432314137,-3.828473837319507,,,,
2021,Germany,-0.35588723389180643,-3.2827113271095243,,,,
2021,Hungary,0.13944260337213166,-13.175165383566679,,,,
2021,India,-0.016747327236007692,-5.380823357590884,,,,
2021,Iran,-0.44335010686394405,-30.54523259195446,,,,
2021,Iraq,0.7252722336113262,12.80575065435471,,,,
2021,Israel,0.882707207519875,28.041006333346502,,,,
2021,Japan,-0.42035065256850146,-9.180812281536703,,,,
2021,Lebanon,0.4935733850134518,10.790552556066928,,,,
2021,Libya,-0.31230576013150824,-23.807287833634575,,,,
2021,Mexico,-1.366946534159485,-46.76639943367485,,,,
2021,Morocco,-0.15119686886730932,-2.511946838144098,,,,
2021,Myanmar,0.9194283360818076,38.418182726786085,,,,
2021,Nepal,0.3380878596140571,-0.42571544402460404,,,,
2021,Pakistan,-0.8636023945986082,-42.88890153737486,,,,
2021,Poland,-0.28211024960222275,-10.995109190157606,,,,
2021,Romania,0.23561954936124252,-8.679007888578724,,,,
2021,Saudi Arabia,0.15426026677368654,7.893711799921675,,,,
2021,South Korea,-0.7989900863939852,-13.503944551442714,,,,
2021,Spain,-0.30908904853474617,-1.8939225129548873,,,,
2021,Sweden,-0.6494406459121576,-8.82704231071191,,,,
2021,Syria,0.8896089036308688,19.00640370483646,,,,
2021,Tunisia,-0.12183613247499991,-12.344248851408793,,,,
2021,United Kingdom,0.1612389993660166,2.6422918980698,,,,
2021,Canada,0.6576100640793294,7.663435348369973,,,,
2021,China,-1.0724493531020372,-20.17805589920205,,,,
2021,Italy,-0.2099560113474883,-5.294806209616695,,,,
2021,North Korea,-1.5754320314551737,-23.431549360526297,,,,
2021,Turkey,1.1273591988180467,31.768163909602123,,,,
2021,United States,1.3160522613213228,32.05855191316161,,,,
2021,Russia,-0.013774159816229314,-0.3484372466778609,,,,
2021,Ukraine,1.329316752895254,36.68322790837826,,,,
2021,Zimbabwe,-0.2993861741248658,-13.367792975575014,,,,
2021,Australia,-0.07860919405151634,-13.18369897632823,,,,
2021,Colombia,-0.7704144683629259,-38.99405379675602,,,,
2021,Ecuador,-0.44334626779215824,-20.29194354669562,,,,
2021,Guatemala,-2.283047223865214,-126.99536950041659,,,,
2021,Kenya,0.008132702009998383,0.6046072413981847,,,,
2021,Angola,0.21893035370444025,7.362832446222171,,,,
2021,Argentina,0.3737950096812579,10.195162746648037,,,,
2021,Brazil,0.26465935447510347,13.251747160781918,,,,
2021,Chile,0.09687551001073835,4.65705276081232,,,,
2021,Lesotho,0.7749014241873624,24.171796549013266,,,,
2021,Mozambique,0.20479326547400944,8.861148642233161,,,,
2021,Namibia,1.1979584483209536,47.70697914135809,,,,
2021,Paraguay,1.2136637314245533,52.58231724477167,,,,
2021,South Africa,0.5755293667766246,18.972888330047994,,,,
2021,Uruguay,0.4987743515285903,15.715450071117289,,,,
2022,Peru,0.08690304535797821,5.707051647161563,,,,
2022,Tanzania,-0.022936240583629086,-1.2577986170522308,,,,
2022,Albania,-0.3517190062854816,-9.202814018907631,,,,
2022,Algeria,-0.23929384379848528,-8.371874294325607,,,,
2022,Bangladesh,0.18369203494711783,8.460514490579897,,,,
2022,Bolivia,-0.30237543244660614,-17.633874792808285,,,,
2022,Bulgaria,-0.46505668150784096,-8.933706172117098,,,,
2022,Denmark,1.3676584240115401,5.864060698718248,,,,
2022,Egypt,-1.0796393407897824,-36.63387379064858,,,,
2022,France,1.2503332007890382,19.51614035996903,,,,
2022,Germany,1.214663203522532,4.377861705349062,,,,
2022,Hungary,0.10856505961874419,-3.1946183487585813,,,,
2022,India,0.040280702208630004,5.314556167116336,,,,
2022,Iran,0.08870758104012921,6.037759618224754,,,,
2022,Iraq,-0.827879327154541,-21.385374371233183,,,,
2022,Israel,-1.6221658708423536,-50.213235999538256,,,,
2022,Japan,0.514861416787296,10.309067156167714,,,,
2022,Lebanon,-0.9770370379988123,-25.429810089351122,,,,
2022,Libya,-0.5199787531828193,-15.945709928501344,,,,
2022,Mexico,1.3124295226055231,39.927328593481036,,,,
2022,Morocco,0.42323713483874315,12.967260019587059,,,,
2022,Myanmar,-0.44013923337701044,-19.55131017512531,,,,
2022,Nepal,-0.04900558393427268,-4.150327042516537,,,,
2022,Pakistan,0.58522313209793,23.398796194845033,,,,
2022,Poland,0.912354379918253,-3.226290856403864,,,,
2022,Romania,-0.015497514561515047,-0.6417374185784013,,,,
2022,Saudi Arabia,0.20521647573085744,13.223699059343971,,,,
2022,South Korea,0.11009717811793784,-3.4672878098104434,,,,
2022,Spain,1.1552753022877944,23.439629813224386,,,,
2022,Sweden,1.9590412280952552,-7.615761648515949,,,,
2022,Syria,-1.252475248894756,-33.81942747794653,,,,
2022,Tunisia,0.18230806484963225,9.873299097077052,,,,
2022,United Kingdom,0.618873225989141,6.774635968279156,,,,
2022,Canada,-0.40604731444030673,-4.834004226835695,,,,
2022,China,0.35429599291057734,6.411614256151452,,,,
2022,Italy,1.0642571619419936,27.74832014930999,,,,
2022,North Korea,1.0263334589189999,14.701196206536082,,,,
2022,Turkey,-1.0920000297327306,-30.81038040453231,,,,
2022,United States,-0.24348156214248284,-6.192273021850866,,,,
2022,Russia,0.716704965318252,18.633880198217923,,,,
2022,Ukraine,-0.2955765507409396,-8.462147067802476,,,,
2022,Zimbabwe,0.11340248944246412,5.042406011407081,,,,
2022,Australia,-0.28103553085682975,-5.711488243557483,,,,
2022,Colombia,-0.5771916734791454,-28.610426687160384,,,,
2022,Ecuador,-0.207279802650568,-8.87816389666466,,,,
2022,Guatemala,0.8360802447094713,45.15074232539746,,,,
2022,Kenya,-0.016503659009170946,-1.2161528918059048,,,,
2022,Angola,0.22291583094331457,11.27940935190992,,,,
2022,Argentina,0.02611970603194891,6.6815464567584115,,,,
2022,Brazil,0.1681912658131388,7.960650131619161,,,,
2022,Chile,-0.2571147678290444,-4.684819972352955,,,,
2022,Lesotho,-0.4821580895103761,-14.726462407791217,,,,
2022,Mozambique,-0.39561255506287907,-18.47720570633544,,,,
2022,Namibia,0.3940975959966089,18.769986234742817,,,,
2022,Paraguay,0.4945140132238919,22.153483893162047,,,,
2022,South Africa,-0.1095827168447645,-1.55104485877888,,,,
2022,Uruguay,-0.5532467039702311,-15.722391967532872,,,,
2023,Peru,0.315181165190495,12.372046521746597,,,,
2023,Tanzania,-0.020561083931216473,-1.4590829703357713,,,,
2023,Albania,-1.0039839617097286,-6.783487528629209,,,,
2023,Algeria,-0.2713836715951494,-7.918294368525949,,,,
2023,Bangladesh,0.1783986658537522,9.3388770577277,,,,
2023,Bolivia,-0.04504134421003769,-2.3963187521335954,,,,
2023,Bulgaria,-0.6554642792765364,6.130696570030267,,,,
2023,Denmark,-0.48528262089318375,4.750235543451581,,,,
2023,Egypt,1.375299643566553,51.354763656884984,,,,
2023,France,-1.3550864572751333,-15.824285124636049,,,,
2023,Germany,-1.0367963749239522,4.819336247529321,,,,
2023,Hungary,-1.0700788043548215,7.1177338222541096,,,,
2023,India,-0.2436622264880306,-9.63479587730302,,,,
2023,Iran,0.23546823236288184,9.074562174016023,,,,
2023,Iraq,0.8697288565477628,26.954691466688928,,,,
2023,Israel,1.5603640739247542,51.26765851081757,,,,
2023,Japan,-1.2546191908117184,-20.77318843137391,,,,
2023,Lebanon,0.7352481120561833,19.511578960352892,,,,
2023,Libya,0.7476351370395591,31.365309151984434,,,,
2023,Mexico,0.2865772191646414,13.246484180377536,,,,
2023,Morocco,-0.8253193712156399,-27.84870419115734,,,,
2023,Myanmar,0.049141537753708775,5.503020730137223,,,,
2023,Nepal,0.9695995490517344,19.124871296485352,,,,
2023,Pakistan,-0.055187136950173965,-2.88114754317661,,,,
2023,Poland,-0.7870199975340606,11.89635623242701,,,,
2023,Romania,-0.7989163513924034,10.76861192138523,,,,
2023,Saudi Arabia,0.5902407926774949,13.480171803059989,,,,
2023,South Korea,-1.5504017593754522,-18.398888142243436,,,,
2023,Spain,-1.0022837427702562,-18.996812422935818,,,,
2023,Sweden,-0.04769488314791559,-0.7190094338550921,,,,
2023,Syria,0.9103117962392986,26.37296193210156,,,,
2023,Tunisia,-0.7354057021738036,-18.334519139375118,,,,
2023,United Kingdom,-0.5078650271547485,-3.9148336703757565,,,,
2023,Canada,-0.05069649031374546,-0.5803877762622633,,,,
2023,China,-0.7010222567861426,-12.443178014209565,,,,
2023,Italy,-0.689684575347318,-18.240446037465574,,,,
2023,North Korea,-1.3434519221794865,-18.817566349293386,,,,
2023,Turkey,0.3506952146650466,9.634764831239949,,,,
2023,United States,-0.42977484016784473,-10.640773211109405,,,,
2023,Russia,0.10464720764703195,2.8067140656224865,,,,
2023,Ukraine,-0.8783873476549537,-24.116411903824314,,,,
2023,Zimbabwe,0.3450028968524812,15.49859644093226,,,,
2023,Australia,-0.44194081270703833,-18.946168524936184,,,,
2023,Colombia,0.7085389430935614,35.80395805373496,,,,
2023,Ecuador,0.44730016090134583,20.01442901243763,,,,
2023,Guatemala,0.7643298783787316,42.25879228853546,,,,
2023,Kenya,0.37072741749627625,18.695796479221144,,,,
2023,Angola,-0.40881260368323424,-16.845841330805285,,,,
2023,Argentina,0.2818705774332866,3.554231498844416,,,,
2023,Brazil,-0.6641269641175391,-29.06285569305976,,,,
2023,Chile,0.3840993366812171,6.881839435626276,,,,
2023,Lesotho,-0.24535202744818108,-3.3465870603652093,,,,
2023,Mozambique,0.2311711338934579,11.156886179353307,,,,
2023,Namibia,-1.2267390882175029,-47.30809394592512,,,,
2023,Paraguay,-1.9231160603474038,-78.68042761829355,,,,
2023,South Africa,-1.1253573986792116,-36.564471187047275,,,,
2023,Uruguay,0.8531568540686614,34.339321390025475,,,,
2024,Peru,-0.07597645199958691,-0.33380906877948746,,,,
2024,Tanzania,-0.09538398143994797,-5.146796482827199,,,,
2024,Albania,1.101203179409504,19.179080653302577,,,,
2024,Algeria,0.4581609521535519,31.068115245694912,,,,
2024,Bangladesh,-0.39547100269126645,-21.786374689956347,,,,
2024,Bolivia,-0.15326400425650633,-5.25489065357192,,,,
2024,Bulgaria,1.4537370004676653,26.81110892914873,,,,
2024,Denmark,-0.7081065849759396,-12.294096534810834,,,,
