Year,Country,T,T2,yield_raw,yield_LogR,yield_LogR_lag1,yield_LogR_lag2
2019,Peru,1.4858678690220941,17.902136165680986,,,0.023184304,-0.037366196
2019,Tanzania,-0.8612858407820276,-40.51179368235967,,,-0.082544638,0.064994745
2019,Albania,3.651163450784124,61.750905343923804,,,-0.089069629,0.034450973
2019,Algeria,0.731399298687279,26.173219182458013,,,0.574717253,-0.02845825
2019,Bangladesh,-3.3244690639992562,-123.78637226207695,,,-0.008715345,0.040919647
2019,Bolivia,-0.6277903513046859,-27.61413788313382,,,0.535628494,-0.482442893
2019,Bulgaria,3.863031011294252,85.91857845720291,,,-0.086782362,0.120860101
2019,Denmark,1.583545930086811,13.519216676255525,,,-0.290643249,0.134098412
2019,Egypt,-1.1250244486081016,-33.43914452709356,,,-0.086035135,0.033893006
2019,France,1.779575111619076,25.858220855543493,,,-0.069319847,0.315782841
2019,Germany,-0.007194281219090826,-28.222710925542515,,,-0.135785843,0.000444875
2019,Hungary,1.6781929846970591,18.164493281201345,,,-0.05768625,0.011728764
2019,India,-0.790000050114628,-14.87815006963433,,,0.051258918,0.053270639
2019,Iran,-0.9659972048609227,-16.27990610940492,,,0.0,-0.234564775
2019,Iraq,-2.4119943257079868,-48.025113221008894,,,-0.021467156,-0.155870008
2019,Israel,-3.553939675279034,-97.80363985428323,,,-0.190020515,-0.86939007
2019,Japan,2.9799594983285758,57.47445020062905,,,-0.168176497,0.146608404
2019,Lebanon,0.1635633581044118,15.604074701445597,,,0.074856181,-0.043286127
2019,Libya,-0.4593323116764374,-8.232916779436835,,,0.012143761,-0.007541215
2019,Mexico,-2.2904058354446235,-78.40659270626782,,,0.026198629,-0.007916923
2019,Morocco,3.1730452930133257,88.87124358400015,,,0.20623046,0.616152555
2019,Myanmar,-2.6790505023663336,-101.24529381972116,,,-0.005591218,0.462470478
2019,Nepal,-3.519300026977667,-103.48430405873887,,,0.076669494,0.092229333
2019,Pakistan,-0.4239506956950869,26.323022257587695,,,-0.04204349,0.067446757
2019,Poland,1.8423752649859448,14.744874463266555,,,-0.201527638,0.062849123
2019,Romania,3.8820376425941046,76.53953760906828,,,-0.020156394,0.214106794
2019,Saudi Arabia,-3.450836380660597,-115.83588587955518,,,0.015439856,0.082306939
2019,South Korea,3.0110636127794015,23.474329554211323,,,-0.031316721,0.083832497
2019,Spain,4.014445220758676,80.4544452647679,,,0.550181901,-0.405221487
2019,Sweden,2.7910453942292537,-20.437389652627267,,,-0.474221926,0.100569295
2019,Syria,-1.627642974676677,-27.506898353247294,,,-0.349772251,0.101022144
2019,Tunisia,2.107259898252053,73.50067670353121,,,0.058464949,-0.10806468
